시점,세대수,인구수,남자인구,여자인구,한국인인구,한국인남자,한국인여자,외국인인구,외국인남자,외국인여자
1994,447404,1530717,768704,762013,1529304,768009,761295,1413,695,718
1995,459469,1530000,768706,761294,1528488,767927,760561,1512,779,733
1996,472206,1531337,769059,762278,1528671,767634,761037,2666,1425,1241
1997,487412,1540307,773953,766354,1537106,772280,764826,3201,1673,1528
1998,500668,1555483,782601,772882,1552667,781179,771488,2816,1422,1394
1999,511060,1560043,784484,775559,1556979,782936,774043,3064,1548,1516
2000,521728,1559042,783469,775573,1554688,781133,773555,4354,2336,2018
2001,531123,1556904,780995,775909,1552407,778766,773641,4497,2229,2268
2002,538613,1543665,774281,769384,1538720,771945,766775,4945,2336,2609
2003,552319,1533331,770529,762802,1527034,767294,759740,6297,3235,3062
2004,563355,1528640,768714,759926,1521375,764803,756572,7265,3911,3354
2005,574019,1521099,764840,756259,1513110,760642,752468,7989,4198,3791
2006,583890,1515672,762233,753439,1505420,756894,748526,10252,5339,4913
2007,594360,1515800,762219,753581,1503806,756184,747622,11994,6035,5959
2008,606950,1521467,765413,756054,1508575,759282,749293,12892,6131,6761
2009,617693,1525542,767155,758387,1512870,761270,751600,12672,5885,6787
2010,639001,1543555,776292,767263,1529818,769807,760011,13737,6485,7252
2011,648649,1549780,779422,770358,1536448,773278,763170,13332,6144,7188
2012,655301,1551531,780172,771359,1538630,774273,764357,12901,5899,7002
2013,664913,1555672,782828,772844,1542263,776498,765765,13409,6330,7079
2014,673978,1558885,785023,773862,1544442,778007,766435,14443,7016,7427
2015,685005,1564615,789001,775614,1549507,781434,768073,15108,7567,7541
2016,692254,1566639,789251,777388,1550806,781146,769660,15833,8105,7728
2017,700265,1567091,789577,777514,1550142,780635,769507,16949,8942,8007
2018,707245,1561313,786364,774949,1543052,776456,766596,18261,9908,8353
2019,719524,1560571,785770,774801,1541502,775386,766116,19069,10384,8685
시점,세대수,인구수,남자인구,여자인구,한국인인구,한국인남자,한국인여자,외국인인구,외국인남자,외국인여자
1961,296732,1585869,791267,794602,,,,,,
1962,295754,1593037,808319,784718,1593037,,,,,
1963,305792,1678126,852652,825474,1678126,852652,825474,0,,
1964,308605,1722005,878558,843447,1722005,878558,843447,0,,
1965,312688,1771035,902167,868868,1771035,902167,868868,0,0,0
1966,334196,1832383,936824,895559,1832383,936824,895559,0,0,0
1967,326508,1825018,930319,894699,1825018,930319,894699,0,0,0
1968,325301,1823612,928804,894808,1823612,928804,894808,0,0,0
1969,328938,1810527,924250,886277,1810527,924250,886277,0,0,0
1970,352484,1866928,953653,913275,1866928,953653,913275,0,0,0
1971,343835,1851866,944748,907118,1851866,944748,907118,0,0,0
1972,341985,1863419,950793,912626,1863419,950793,912626,0,0,0
1973,339751,1852456,946034,906422,1852456,946034,906422,0,0,0
1974,338744,1865738,953938,911800,1865738,953938,911800,0,0,0
1975,362165,1862107,955258,906849,1862107,955258,906849,0,0,0
1976,355710,1842363,941292,901071,1842363,941292,901071,0,0,0
1977,355909,1847177,942097,905080,1847177,942097,905080,0,0,0
1978,362478,1852755,942117,910638,1852755,942117,910638,0,0,0
1979,369774,1844559,939862,904697,1844559,939862,904697,0,0,0
1980,375265,1790954,915397,875557,1790226,914983,875243,728,414,314
1981,376332,1804853,921268,883585,1804853,921268,883585,0,0,0
1982,381965,1809871,925008,884863,1809871,925008,884863,0,0,0
1983,391296,1824324,931933,892391,1823717,931611,892106,607,322,285
1984,393853,1816365,927598,888767,1815719,927253,888466,646,345,301
1985,404694,1724809,880464,844345,1724146,880090,844056,663,374,289
1986,406934,1750707,893424,857283,1750119,893107,857012,588,317,271
1987,407745,1751252,891588,859664,1750698,891280,859418,554,308,246
1988,412209,1730905,879530,851375,1730307,879205,851102,598,325,273
1989,413688,1702025,864011,838014,1701502,863724,837778,523,287,236
1990,413793,1580430,802179,778251,1579859,801845,778014,571,334,237
1991,421478,1563902,786137,777765,1584101,800995,783106,491,275,216
1992,432116,1555082,781263,773819,1554106,780751,773355,976,512,464
1993,440282,1540971,774150,766821,1539801,773555,766246,1170,595,575
1994,447404,1530717,768704,762013,1529304,768009,761295,1413,695,718
1995,459469,1530000,768706,761294,1528488,767927,760561,1512,779,733
1996,472206,1531337,769059,762278,1528671,767634,761037,2666,1425,1241
1997,487412,1540307,773953,766354,1537106,772280,764826,3201,1673,1528
1998,500668,1555483,782601,772882,1552667,781179,771488,2816,1422,1394
1999,511060,1560043,784484,775559,1556979,782936,774043,3064,1548,1516
2000,521728,1559042,783469,775573,1554688,781133,773555,4354,2336,2018
2001,531123,1556904,780995,775909,1552407,778766,773641,4497,2229,2268
2002,538613,1543665,774281,769384,1538720,771945,766775,4945,2336,2609
2003,552319,1533331,770529,762802,1527034,767294,759740,6297,3235,3062
2004,563355,1528640,768714,759926,1521375,764803,756572,7265,3911,3354
2005,574019,1521099,764840,756259,1513110,760642,752468,7989,4198,3791
2006,583890,1515672,762233,753439,1505420,756894,748526,10252,5339,4913
2007,594360,1515800,762219,753581,1503806,756184,747622,11994,6035,5959
2008,606950,1521467,765413,756054,1508575,759282,749293,12892,6131,6761
2009,617693,1525542,767155,758387,1512870,761270,751600,12672,5885,6787
2010,639001,1543555,776292,767263,1529818,769807,760011,13737,6485,7252
2011,648649,1549780,779422,770358,1536448,773278,763170,13332,6144,7188
2012,655301,1551531,780172,771359,1538630,774273,764357,12901,5899,7002
2013,664913,1555672,782828,772844,1542263,776498,765765,13409,6330,7079
2014,673978,1558885,785023,773862,1544442,778007,766435,14443,7016,7427
2015,685005,1564615,789001,775614,1549507,781434,768073,15108,7567,7541
2016,692254,1566639,789251,777388,1550806,781146,769660,15833,8105,7728
2017,700265,1567091,789577,777514,1550142,780635,769507,16949,8942,8007
2018,707245,1561313,786364,774949,1543052,776456,766596,18261,9908,8353
2019,719524,1560571,785770,774801,1541502,775386,766116,19069,10384,8685
